row_index,d_confirm_time,timeframe,pattern_type,outcome,result_r,reached_tp1,reached_tp2,tp2_score,target,test_start,test_end,atr_percent,d_extreme_time,entry_time,tp1_r,tp2_r,mss_any_wick_160,mss_any_close_160,mss_before_entry_wick_160,mss_before_entry_close_160,mss_bars_wick_160,mss_bars_close_160,mss_break_pct_160
6065,2025-06-17 18:00:00,1h,bullish,tp2,3.6094600349554544,1,1,0.2910545812062815,reached_tp2,2025-04-01,2025-07-01,0.6054272233425861,2025-06-17 17:00:00,2025-06-18 17:00:00,5.330443092666262,2.0,1,1,1,1,24,24,0.29518860761554333
6066,2025-06-17 18:00:00,1h,bullish,tp2,1.8081527543035776,1,1,0.2713203967036455,reached_tp2,2025-04-01,2025-07-01,0.6054272233425861,2025-06-17 17:00:00,2025-06-18 17:00:00,1.727107864316839,2.0,1,1,1,1,24,24,0.29518860761554333
6067,2025-06-17 19:45:00,15m,bearish,tp2,2.3876194394878576,1,1,0.2871103440232201,reached_tp2,2025-04-01,2025-07-01,0.4055696899377454,2025-06-17 19:15:00,2025-06-18 01:15:00,2.944424463814226,2.0,0,0,0,0,999,999,0.0
6068,2025-06-18 11:30:00,15m,bullish,sl_before_tp1,-1.2153700736756587,0,0,0.2880687929036437,reached_tp2,2025-04-01,2025-07-01,0.237671333172332,2025-06-18 10:45:00,2025-06-18 13:00:00,2.708589188523616,2.0,1,1,1,1,13,14,0.06271441744319628
6069,2025-06-18 11:30:00,15m,bullish,sl_before_tp1,-1.2153700736756587,0,0,0.3021320486786941,reached_tp2,2025-04-01,2025-07-01,0.237671333172332,2025-06-18 10:45:00,2025-06-18 13:00:00,3.361957000369457,2.0,1,1,1,1,13,14,0.06271441744319628
6070,2025-06-18 11:30:00,30m,bullish,sl_before_tp1,-1.1679944173458767,0,0,0.2691328210540158,reached_tp2,2025-04-01,2025-07-01,0.3018655874048315,2025-06-18 10:30:00,2025-06-18 13:00:00,2.3991386210869434,2.0,1,1,1,1,16,17,0.06271441744319628
6071,2025-06-18 13:45:00,15m,bullish,sl_before_tp1,-1.1694435560289609,0,0,0.308478830143772,reached_tp2,2025-04-01,2025-07-01,0.2966400994853075,2025-06-18 13:30:00,2025-06-18 17:00:00,2.288483444287864,2.0,1,1,1,1,6,6,0.3423556518344473
6072,2025-06-18 13:45:00,15m,bullish,sl_before_tp1,-1.1694435560289609,0,0,0.3089519507044141,reached_tp2,2025-04-01,2025-07-01,0.2966400994853075,2025-06-18 13:30:00,2025-06-18 17:00:00,2.022348063559931,2.0,1,1,1,1,6,6,0.3423556518344473
6073,2025-06-18 14:00:00,30m,bullish,tp1_then_be,0.4432653428647074,1,0,0.2591927501492242,reached_tp2,2025-04-01,2025-07-01,0.4171021390585138,2025-06-18 13:30:00,2025-06-18 15:00:00,1.1077574794810696,1.9797723060630068,1,1,1,1,6,6,0.3423556518344473
6074,2025-06-18 17:45:00,15m,bullish,tp2,1.9442904126133944,1,1,0.3367040538730304,reached_tp2,2025-04-01,2025-07-01,0.3842318903154259,2025-06-18 17:30:00,2025-06-18 18:00:00,2.052685766410523,2.0,1,1,1,0,5,12,0.09783095079994847
6075,2025-06-18 18:00:00,30m,bullish,tp1_then_be,0.5973336659482079,1,0,0.2670191852870709,reached_tp2,2025-04-01,2025-07-01,0.5825730658947241,2025-06-18 17:30:00,2025-06-18 18:30:00,1.340462981105653,1.8482306508047477,1,1,1,1,5,12,0.09783095079994847
6076,2025-06-18 19:15:00,15m,bullish,tp2,1.6820327197957472,1,1,0.3273668397144663,reached_tp2,2025-04-01,2025-07-01,0.479807727252203,2025-06-18 19:00:00,2025-06-18 19:30:00,1.5457266382978825,1.960364936170208,1,1,0,0,20,20,0.03221042872367093
6077,2025-06-18 20:00:00,1h,bullish,tp2,1.239138299302884,1,1,0.2348696472728025,reached_tp2,2025-04-01,2025-07-01,0.7478626942475293,2025-06-18 19:00:00,2025-06-19 16:00:00,0.9385120285154976,1.6310335271374354,1,1,1,1,20,20,0.03221042872367093
6078,2025-06-18 20:30:00,30m,bullish,no_fill,0.0,0,0,0.0555540199018661,reached_tp2,2025-04-01,2025-07-01,0.6814055558631343,2025-06-18 19:00:00,,0.0,0.0,1,1,0,0,20,20,0.03221042872367093
6079,2025-06-19 10:45:00,15m,bearish,no_fill,0.0,0,0,0.0502096346209063,reached_tp2,2025-04-01,2025-07-01,0.1327395892708635,2025-06-19 10:30:00,,0.0,0.0,1,1,0,0,3,3,0.08390685576220797
6080,2025-06-19 14:00:00,30m,bullish,sl_before_tp1,-1.2257003985840953,0,0,0.2675868129098638,reached_tp2,2025-04-01,2025-07-01,0.2285935064525189,2025-06-19 13:30:00,2025-06-19 14:30:00,2.4043788387762457,2.0,1,1,0,0,50,117,0.043914416530150116
6081,2025-06-19 14:00:00,15m,bullish,sl_before_tp1,-1.3194426555093135,0,0,0.3103984158158058,reached_tp2,2025-04-01,2025-07-01,0.1556545384499192,2025-06-19 13:45:00,2025-06-19 14:30:00,3.3292725812340014,2.0,1,1,0,0,47,114,0.043914416530150116
6082,2025-06-19 14:00:00,15m,bullish,sl_before_tp1,-1.3194426555093135,0,0,0.2852750822359929,reached_tp2,2025-04-01,2025-07-01,0.1556545384499192,2025-06-19 13:45:00,2025-06-19 14:30:00,2.910652646951441,2.0,1,1,0,0,47,114,0.043914416530150116
6083,2025-06-19 16:15:00,15m,bullish,sl_before_tp1,-1.2180594048839015,0,0,0.3120659770283898,reached_tp2,2025-04-01,2025-07-01,0.2267382409237245,2025-06-19 15:45:00,2025-06-19 16:30:00,1.6970467915106418,2.0,1,1,0,0,22,22,0.32845960205525165
6084,2025-06-19 17:30:00,15m,bullish,tp1_then_be,0.1104146419817524,1,0,0.167710398667946,reached_tp2,2025-04-01,2025-07-01,0.2661018397228255,2025-06-19 17:00:00,2025-06-19 19:00:00,0.5567879391201662,1.354002888626774,1,1,1,1,7,7,0.4038612703464435
6085,2025-06-19 17:30:00,30m,bullish,tp1_then_be,0.4259815737456132,1,0,0.2540046462932934,reached_tp2,2025-04-01,2025-07-01,0.3208652882619294,2025-06-19 17:00:00,2025-06-19 19:00:00,1.133291874969916,2.0,1,1,1,1,7,7,0.4038612703464435
6086,2025-06-19 23:00:00,15m,bearish,sl_before_tp1,-1.2702510022218003,0,0,0.2862671312574286,reached_tp2,2025-04-01,2025-07-01,0.1851259687740421,2025-06-19 22:45:00,2025-06-19 23:15:00,1.864740885186804,2.0,1,1,0,0,32,32,0.055653153455194726
6087,2025-06-20 05:30:00,15m,bullish,no_fill,0.0,0,0,0.0520670159064,reached_tp2,2025-04-01,2025-07-01,0.1224870024679302,2025-06-20 04:45:00,,0.0,0.0,1,1,0,0,14,14,0.0029652047569592123
6088,2025-06-20 06:00:00,30m,bullish,sl_before_tp1,-1.2112086118302725,0,0,0.1871065970739708,reached_tp2,2025-04-01,2025-07-01,0.2069289386530394,2025-06-20 05:00:00,2025-06-20 14:30:00,1.1631854760396856,1.532702047709499,1,1,1,1,10,10,0.06949709375788904
6089,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.0347916219389442,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6090,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.0432547940952049,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6091,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.0330273569778609,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6092,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.0472344527080367,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6093,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.0422435654259117,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6094,2025-06-20 08:45:00,15m,bearish,no_fill,0.0,0,0,0.039434744157015,reached_tp2,2025-04-01,2025-07-01,0.2536922486955565,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
6095,2025-06-20 09:00:00,1h,bearish,no_fill,0.0,0,0,0.0426999121332348,reached_tp2,2025-04-01,2025-07-01,0.3920090534813992,2025-06-20 08:00:00,,0.0,0.0,1,1,0,0,77,78,0.0978947398463882
6096,2025-06-20 09:00:00,30m,bearish,no_fill,0.0,0,0,0.0339326163512218,reached_tp2,2025-04-01,2025-07-01,0.304566670236275,2025-06-20 08:30:00,,0.0,0.0,1,1,0,0,11,63,0.01182284646851576
